job_title,salary
Research Scientist,203140.5 to 209628.1
Research Scientist,144752.07 to 151239.67
Research Scientist,170702.48 to 177190.08
Research Scientist,112314.05 to 118801.65
AI Engineer,99338.84 to 105826.45
AI Engineer,79876.03 to 86363.64
AI Engineer,332892.56 to 339380.17
AI Engineer,157727.27 to 164214.88
Manager,287479.34 to 293966.94
Manager,209628.1 to 216115.7
Business Intelligence Developer,73388.43 to 79876.03
Software Engineer,177190.08 to 183677.69
Software Engineer,144752.07 to 151239.67
Data Scientist,118801.65 to 125289.26
Data Scientist,99338.84 to 105826.45
Manager,326404.96 to 332892.56
Manager,190165.29 to 196652.89
Research Engineer,293966.94 to 300454.55
Research Engineer,164214.88 to 170702.48
Data Specialist,40950.41 to 47438.02
Data Specialist,34462.81 to 40950.41
AI Architect,397768.6 to 404256.2
AI Architect,164214.88 to 170702.48
Business Analyst,60413.22 to 66900.83
Business Analyst,40950.41 to 47438.02
Manager,138264.46 to 144752.07
Machine Learning Engineer,306942.15 to 313429.75
Machine Learning Engineer,157727.27 to 164214.88
Data Analyst,79876.03 to 86363.64
Data Analyst,73388.43 to 79876.03
Data Analyst,86363.64 to 92851.24
Data Architect,216115.7 to 222603.31
Data Architect,144752.07 to 151239.67
Data Engineer,216115.7 to 222603.31
Data Engineer,92851.24 to 99338.84
Data Engineer,157727.27 to 164214.88
Data Engineer,105826.45 to 112314.05
Software Engineer,99338.84 to 105826.45
Software Engineer,131776.86 to 138264.46
Analyst,293966.94 to 300454.55
Analyst,164214.88 to 170702.48
Software Engineer,248553.72 to 255041.32
Engineer,248553.72 to 255041.32
Engineer,170702.48 to 177190.08
Software Engineer,112314.05 to 118801.65
Engineer,306942.15 to 313429.75
Engineer,216115.7 to 222603.31
Software Engineer,203140.5 to 209628.1
Software Engineer,92851.24 to 99338.84
Analyst,177190.08 to 183677.69
Analyst,118801.65 to 125289.26
Manager,242066.12 to 248553.72
Manager,105826.45 to 112314.05
Data Scientist,280991.74 to 287479.34
Data Scientist,203140.5 to 209628.1
