job_title,salary
Research Scientist,204205.13 to 208230.77
Research Scientist,143820.51 to 147846.15
Research Scientist,172000.0 to 176025.64
Research Scientist,115641.03 to 119666.67
AI Engineer,99538.46 to 103564.1
AI Engineer,79410.26 to 83435.9
AI Engineer,337051.28 to 341076.92
AI Engineer,159923.08 to 163948.72
Manager,292769.23 to 296794.87
Manager,212256.41 to 216282.05
Business Intelligence Developer,75384.62 to 79410.26
Software Engineer,176025.64 to 180051.28
Software Engineer,143820.51 to 147846.15
Data Scientist,119666.67 to 123692.31
Data Scientist,99538.46 to 103564.1
Manager,329000.0 to 333025.64
Manager,188102.56 to 192128.21
Research Engineer,292769.23 to 296794.87
Research Engineer,163948.72 to 167974.36
Data Specialist,43179.49 to 47205.13
Data Specialist,35128.21 to 39153.85
AI Architect,397435.9 to 401461.54
AI Architect,167974.36 to 172000.0
Business Analyst,63307.69 to 67333.33
Business Analyst,43179.49 to 47205.13
Manager,208230.77 to 212256.41
Manager,139794.87 to 143820.51
Machine Learning Engineer,308871.79 to 312897.44
Machine Learning Engineer,159923.08 to 163948.72
Data Analyst,83435.9 to 87461.54
Data Analyst,71358.97 to 75384.62
Data Analyst,87461.54 to 91487.18
Data Architect,216282.05 to 220307.69
Data Architect,147846.15 to 151871.79
Data Engineer,220307.69 to 224333.33
Data Engineer,95512.82 to 99538.46
Data Engineer,159923.08 to 163948.72
Data Engineer,107589.74 to 111615.38
Software Engineer,99538.46 to 103564.1
Software Engineer,131743.59 to 135769.23
Analyst,296794.87 to 300820.51
Analyst,167974.36 to 172000.0
Software Engineer,248487.18 to 252512.82
Software Engineer,147846.15 to 151871.79
Engineer,248487.18 to 252512.82
Engineer,172000.0 to 176025.64
Software Engineer,115641.03 to 119666.67
Engineer,308871.79 to 312897.44
Engineer,216282.05 to 220307.69
Software Engineer,208230.77 to 212256.41
Software Engineer,95512.82 to 99538.46
Analyst,180051.28 to 184076.92
Analyst,119666.67 to 123692.31
Manager,240435.9 to 244461.54
Manager,107589.74 to 111615.38
Data Scientist,280692.31 to 284717.95
Data Scientist,204205.13 to 208230.77
Data Engineer,240435.9 to 244461.54
