"Nodo","Centralidad"
"Software Engineer",247.46943709254944
"Data Scientist",247.46943709254944
"Machine Learning Engineer",247.46943709254944
"Data Engineer",247.46943709254944
"Engineer",232.32553363188927
"Manager",232.32553363188927
"Data Analyst",229.8198298370599
"Associate",213.626448574198
"Data Architect",201.81145176143815
"Analyst",195.76607153293864
"Consultant",190.72834462353114
"Research Engineer",188.5090598228737
"Data Specialist",187.78673092423986
"Analytics Engineer",183.80524834329984
"AI Engineer",180.55935334079837
"Research Scientist",171.5328250332982
"Product Manager",168.12884505493594
"Data Manager",163.00695382457334
"Business Analyst",161.1501756386166
"Research Analyst",160.6246516808143
"Data Management Analyst",154.7572517040348
"Head of Data",151.01681061540714
"Developer",150.85591061859907
"Business Intelligence",150.85591061859907
"Software Developer",150.85591061859907
"Cloud Engineer",145.09445536026698
"BI Developer",142.99278435111452
"Business Intelligence Developer",140.40142733839033
"Business Intelligence Analyst",138.29924588429333
"Systems Engineer",138.28866649471874
"AI Developer",134.79238209799877
"Business Intelligence Engineer",134.62383149272682
"Research Associate",127.97198652116279
"Applied Scientist",124.8947077297969
"DevOps Engineer",124.37965851861813
"Data Lead",124.18412883205201
"Architect",123.65133393121121
"Data Management Specialist",123.4185657907611
"Computer Vision Engineer",118.93722798353438
"Data Product Manager",118.45362487006359
"Data Analytics Manager",117.49863906553848
"BI Analyst",117.39316422200297
"Data Quality Analyst",117.11296590825958
"Software Development Engineer",116.93236157252556
"Solutions Engineer",115.17354670398706
"Data Governance",114.43133096700234
"Data Governance Analyst",113.84909343487631
"Data Governance Specialist",113.84249006837985
"Site Reliability Engineer",112.80086173445228
"Full Stack Engineer",112.13824432973864
"Technical Lead",108.67794356965231
"Machine Learning Scientist",107.9033283555912
"Robotics Engineer",107.42587735413206
"Data Operations Analyst",105.61346883048441
"Insight Analyst",105.03870082462036
"Quantitative Analyst",103.60312085839216
"Solutions Architect",102.29506319072246
"MLOps Engineer",101.2092937346041
"AI Architect",100.76779971856801
"Backend Engineer",99.63798482152306
"Data Operations Engineer",98.9534388620793
"Data Integration Specialist",98.74890000286575
"Solution Architect",98.61728072694483
"Engineering Manager",95.7776303484296
"Product Analyst",95.29422940301991
"Data Developer",95.22850048555911
"Power BI Developer",94.41103029659813
"Data Modeler",93.93704515317602
"AI Scientist",93.48709478678767
"Statistician",93.34302640408191
"Full Stack Developer",93.34282112848041
"Data Analytics Lead",91.69024945174034
"Machine Learning Developer",90.76325653778196
"Decision Scientist",90.68517076612216
"Data Infrastructure Engineer",90.1968094711882
"Platform Engineer",89.58170139037477
"Statistical Programmer",89.39496661786643
"Data Visualization Specialist",86.18731564845412
"Python Developer",85.72977832307176
"Data Strategist",85.66344632260311
"AI Specialist",85.45307756939906
"Data Governance Lead",84.71825945941411
"Data Quality Engineer",84.29726333399545
"Data Product Owner",84.07120352812588
"AI Researcher",83.99113571876775
"Data Visualization Engineer",81.61558060024554
"Prompt Engineer",81.08847317726718
"Analytics Specialist",79.08031727296404
"Data Reporting Analyst",78.95604321274476
"BI Engineer",78.7880544390847
"Research Assistant",76.4025691616537
"Machine Learning Researcher",76.13499118321015
"Data Analytics Consultant",75.43641243465346
"Data Integration Engineer",75.04552787806186
"Bioinformatics Scientist",74.60426333234201
"QA Engineer",73.76687306213043
"BI Data Analyst",69.90493716341754
"Computational Biologist",66.96004337401088
"Data Analytics Specialist",66.28606144994713
"Data Visualization Analyst",63.94091162756716
"Account Executive",63.41257813976941
"Member of Technical Staff",61.600655338647634
"Artificial Intelligence Engineer",60.959531446478586
"Business Intelligence Lead",59.45752706699661
"Analytics Lead",58.464624303971576
"Machine Learning Infrastructure Engineer",58.17679982797823
"ETL Developer",57.8455743456092
"Product Designer",57.48223612699418
"Data Quality Specialist",57.16939975202342
"Cloud Database Engineer",56.43461776680721
"Business Data Analyst",55.48858684981748
"Data Management Lead",54.020948256556096
"Data Governance Manager",53.69706671767822
"Security Engineer",52.87889539186882
"Business Intelligence Specialist",52.05045769022046
"Bioinformatician",51.82900161337808
"Data Operations Manager",51.78486983877897
"Data Operations Specialist",51.58475326897775
"Lead Analyst",50.46520837176644
"Data Visualization Developer",47.716319924858
"Quantitative Researcher",47.14970285325307
"Machine Learning Architect",45.73903059222816
"Lead Engineer",44.84083503357101
"Data Platform Engineer",44.80225151649618
"Machine Learning Software Engineer",44.20696870464117
"Product Owner",43.77090027605014
"Data Integration Analyst",43.2684608246277
"Machine Learning Specialist",43.08453961689039
"NLP Engineer",42.89804194804178
"Data Integrity Analyst",40.76012468620631
"Business Intelligence Manager",40.398669939018085
"System Engineer",40.02968352491377
"Data Quality Lead",39.69474812159767
"Data Operations Associate",39.35023539665386
"Software Architect",38.89434091060244
"Enterprise Account Executive",36.02249812256919
"Data Quality Manager",34.62108662005797
"Applied Data Scientist",34.24650693533168
"AI Product Manager",34.1964231081851
"Principal Statistical Programmer",34.18251124861408
"Data Team Lead",33.9849357954596
"AI Programmer",33.85950641311813
"Technical Writer",33.566582272561966
"Master Data Management",32.02191206013044
"Applied Machine Learning Scientist",31.221817984019538
"Data Management Consultant",31.02219115485128
"Fullstack Engineer",30.01807221693102
"Cloud Database Administrator",29.8254024260032
"Data and Reporting Analyst",29.803270365211073
"Tech Lead",29.57777457052379
"Application Developer",29.256422049453075
"Infrastructure Engineer",28.561119955682045
"Encounter Data Management Professional",28.521237826928623
"Postdoctoral Fellow",28.130087495699325
"AI Product Owner",27.090875291348716
"Big Data Engineer",24.78437332893858
"AI Research Engineer",24.27515698693042
"AI Software Engineer",23.547200027456245
"Lead Data Scientist",23.525296736019126
"Product Specialist",23.36807719890081
"Machine Learning Manager",23.324423680314645
"AI Lead",23.263226980032403
"Data Operations",23.140924312501426
"Robotics Software Engineer",23.049782766654893
"Power BI",22.725702592048577
"Actuarial Analyst",22.15303099615806
"Data Integrator",22.062940684453825
"Data Integration Developer",22.033457559152193
"Data Strategy Lead",21.969875596556758
"ETL Engineer",21.156443081800447
"Head of AI",20.239287688698113
"Executive",19.908765675830292
"Postdoctoral Researcher",19.724371530303728
"Data and Reporting Professional",19.27639048748094
"AI Data Scientist",18.82740847580101
"Director of Machine Learning",18.56629915762715
"Data Integrity Specialist",18.468513980126442
"Pricing Analyst",18.349567113903998
"Quantitative Developer",17.514352548621773
"Data Management Associate",17.327409067212407
"Algorithm Developer",17.14026485166313
"DataOps Engineer",16.502616129061167
"Risk Analyst",16.096252714746157
"Data Governance Engineer",15.65051701613445
"ML Infrastructure Engineer",15.030795111231988
"AI Solution Architect",14.846880719341392
"Principal Researcher",14.524813621449434
"Deep Learning Engineer",14.454260829847586
"Admin & Data Analyst",14.434492727099915
"Lead Data Engineer",13.451848233763275
"Lead Data Analyst",13.290868438885223
"AI Research Scientist",13.290596704119885
"Data Strategy Manager",12.90325302806483
"Head of Machine Learning",12.768331917550201
"Stage",12.729510711912106
"Sales Development Representative",12.629523285786092
"Data Analytics Developer",12.551340332202418
"Data Analytics Associate",12.45834351048125
"Principal Data Scientist",12.249519659840036
"Bear Robotics",12.065197648875458
"Developer Advocate",12.037153200192412
"Machine Learning Quality Engineer",11.909303763882585
"Big Data Developer",11.75833189497093
"Security Researcher",11.382764802332446
"Frontend Engineer",11.18290757561456
"Computational Scientist",10.955375309361576
"Machine Learning Lead",10.593203330723343
"Cloud Data Engineer",10.465290585401208
"Data Reporter",10.16664379467234
"Power BI Expert",9.956496155696227
"Data Management Manager",8.80392017938932
"Machine Learning Platform Engineer",8.562280433113933
"Principal Software Architect",8.42558572022266
"Lead Machine Learning Engineer",7.289289657323872
"Chatbot Developer",7.23792038300902
"Principal Machine Learning Engineer",7.232622202872878
"Data Scientist Lead",6.891227052343946
"Data Analytics Engineer",6.505188047893307
"Product Data Analyst",5.890390660772242
"Financial Data Analyst",5.8468412221224995
"Computer Vision Software Engineer",5.846493888899381
"Elasticsearch Administrator",5.478733802295259
"Technology Integrator",5.478733802295259
"Machine Learning Modeler",5.16423506510957
"Power BI Administrator",4.881162850862948
"Lead Data Analysis",4.686031403565971
"Machine Learning Research Engineer",4.672264990550499
"Data Operations Lead",4.216687033080482
"Staff Data Scientist",3.9655033677160842
"Applied Machine Learning Engineer",3.947830768788624
