job_title,salary
AI Architect,775528.58 to 800000.0
Data Engineer,775528.58 to 800000.0
Data Analyst,751805.73 to 775528.58
Data Engineer,728808.54 to 751805.73
Analytics Engineer,728808.54 to 751805.73
Data Scientist,728808.54 to 751805.73
Machine Learning Scientist,728808.54 to 751805.73
Machine Learning Engineer,728808.54 to 751805.73
Data Analyst,728808.54 to 751805.73
Product Manager,706514.82 to 728808.54
Machine Learning Scientist,706514.82 to 728808.54
Data Visualization Engineer,706514.82 to 728808.54
Research Scientist,706514.82 to 728808.54
Backend Engineer,706514.82 to 728808.54
Data Scientist,706514.82 to 728808.54
Analytics Engineer,706514.82 to 728808.54
Research Engineer,706514.82 to 728808.54
Machine Learning Engineer,706514.82 to 728808.54
Data Engineer,706514.82 to 728808.54
Software Engineer,706514.82 to 728808.54
Site Reliability Engineer,706514.82 to 728808.54
Data Scientist,684903.05 to 706514.82
Software Engineer,684903.05 to 706514.82
Analytics Engineer,684903.05 to 706514.82
Data Scientist,663952.36 to 684903.05
ML Infrastructure Engineer,643642.55 to 663952.36
Research Scientist,643642.55 to 663952.36
Research Engineer,643642.55 to 663952.36
Data Analyst,623953.99 to 643642.55
Architect,623953.99 to 643642.55
Data Specialist,623953.99 to 643642.55
Manager,623953.99 to 643642.55
Engineer,623953.99 to 643642.55
Research Scientist,623953.99 to 643642.55
Engineering Manager,623953.99 to 643642.55
Head of Data,623953.99 to 643642.55
Software Engineer,604867.69 to 623953.99
AI Scientist,604867.69 to 623953.99
AI Architect,604867.69 to 623953.99
Engineer,604867.69 to 623953.99
Software Engineer,586365.23 to 604867.69
Analyst,586365.23 to 604867.69
Engineer,586365.23 to 604867.69
Data Specialist,586365.23 to 604867.69
Manager,586365.23 to 604867.69
Research Scientist,586365.23 to 604867.69
Research Engineer,586365.23 to 604867.69
Analytics Engineer,586365.23 to 604867.69
Prompt Engineer,586365.23 to 604867.69
AI Engineer,586365.23 to 604867.69
Data Analyst,586365.23 to 604867.69
Product Owner,586365.23 to 604867.69
Principal Statistical Programmer,586365.23 to 604867.69
Insight Analyst,586365.23 to 604867.69
Software Engineer,568428.75 to 586365.23
Insight Analyst,551040.93 to 568428.75
AI Engineer,551040.93 to 568428.75
