job_xp,salary
AI Architect (MI),775528.58 to 800000.0
Data Engineer (EN),775528.58 to 800000.0
Data Analyst (EN),751805.73 to 775528.58
Data Engineer (MI),728808.54 to 751805.73
Machine Learning Scientist (MI),728808.54 to 751805.73
Machine Learning Engineer (MI),728808.54 to 751805.73
Data Scientist (SE),728808.54 to 751805.73
Data Analyst (SE),728808.54 to 751805.73
Machine Learning Engineer (SE),728808.54 to 751805.73
Machine Learning Scientist (SE),728808.54 to 751805.73
Analytics Engineer (SE),728808.54 to 751805.73
Product Manager (MI),706514.82 to 728808.54
Analytics Engineer (SE),706514.82 to 728808.54
Site Reliability Engineer (SE),706514.82 to 728808.54
Machine Learning Engineer (SE),706514.82 to 728808.54
Backend Engineer (SE),706514.82 to 728808.54
Data Scientist (SE),706514.82 to 728808.54
Data Scientist (MI),706514.82 to 728808.54
Analytics Engineer (EN),706514.82 to 728808.54
Research Scientist (SE),706514.82 to 728808.54
Data Engineer (MI),706514.82 to 728808.54
Software Engineer (MI),706514.82 to 728808.54
Research Engineer (MI),706514.82 to 728808.54
Software Engineer (SE),706514.82 to 728808.54
Machine Learning Scientist (MI),706514.82 to 728808.54
Analytics Engineer (MI),706514.82 to 728808.54
Research Scientist (MI),706514.82 to 728808.54
Data Engineer (SE),706514.82 to 728808.54
Machine Learning Engineer (MI),706514.82 to 728808.54
Data Visualization Engineer (MI),706514.82 to 728808.54
Analytics Engineer (MI),684903.05 to 706514.82
Data Scientist (MI),684903.05 to 706514.82
Analytics Engineer (SE),684903.05 to 706514.82
Software Engineer (SE),684903.05 to 706514.82
Data Scientist (MI),663952.36 to 684903.05
ML Infrastructure Engineer (SE),643642.55 to 663952.36
Research Engineer (SE),643642.55 to 663952.36
Research Scientist (MI),643642.55 to 663952.36
Research Scientist (SE),643642.55 to 663952.36
Data Analyst (EN),623953.99 to 643642.55
Architect (SE),623953.99 to 643642.55
Data Specialist (MI),623953.99 to 643642.55
Manager (MI),623953.99 to 643642.55
Research Scientist (SE),623953.99 to 643642.55
Engineer (SE),623953.99 to 643642.55
Head of Data (EX),623953.99 to 643642.55
Engineering Manager (MI),623953.99 to 643642.55
Software Engineer (SE),604867.69 to 623953.99
AI Scientist (SE),604867.69 to 623953.99
AI Architect (SE),604867.69 to 623953.99
Engineer (EX),604867.69 to 623953.99
Software Engineer (SE),586365.23 to 604867.69
Analyst (SE),586365.23 to 604867.69
Engineer (SE),586365.23 to 604867.69
Data Specialist (SE),586365.23 to 604867.69
Manager (SE),586365.23 to 604867.69
AI Engineer (SE),586365.23 to 604867.69
Prompt Engineer (SE),586365.23 to 604867.69
Research Scientist (SE),586365.23 to 604867.69
Analytics Engineer (SE),586365.23 to 604867.69
Research Engineer (SE),586365.23 to 604867.69
AI Engineer (MI),586365.23 to 604867.69
Data Analyst (SE),586365.23 to 604867.69
Product Owner (MI),586365.23 to 604867.69
Analyst (MI),586365.23 to 604867.69
Principal Statistical Programmer (SE),586365.23 to 604867.69
Insight Analyst (SE),586365.23 to 604867.69
