job_title,Grupo
Research Scientist,204748.52 - 211286.16
Research Scientist,145909.77 - 152447.41
Research Scientist,172060.33 - 178597.97
Research Scientist,113221.58 - 119759.22
AI Engineer,93608.66 - 100146.3
AI Engineer,73995.75 - 80533.39
AI Engineer,335501.29 - 342038.93
AI Engineer,158985.05 - 165522.69
Manager,289737.82 - 296275.46
Manager,211286.16 - 217823.8
Business Intelligence Developer,73995.75 - 80533.39
Software Engineer,178597.97 - 185135.61
Software Engineer,139372.13 - 145909.77
Data Scientist,119759.22 - 126296.86
Data Scientist,93608.66 - 100146.3
Manager,328963.66 - 335501.29
Manager,185135.61 - 191673.24
Research Engineer,296275.46 - 302813.1
Research Engineer,165522.69 - 172060.33
Data Specialist,41307.55 - 47845.19
Data Specialist,34769.92 - 41307.55
AI Architect,394340.04 - 400877.68
AI Architect,165522.69 - 172060.33
Business Analyst,60920.47 - 67458.11
Business Analyst,41307.55 - 47845.19
Manager,204748.52 - 211286.16
Manager,139372.13 - 145909.77
Machine Learning Engineer,309350.74 - 315888.38
Machine Learning Engineer,158985.05 - 165522.69
Data Analyst,80533.39 - 87071.03
Data Analyst,73995.75 - 80533.39
Data Analyst,87071.03 - 93608.66
Data Architect,217823.8 - 224361.44
Data Architect,145909.77 - 152447.41
Data Engineer,217823.8 - 224361.44
Data Engineer,93608.66 - 100146.3
Data Engineer,158985.05 - 165522.69
Data Engineer,106683.94 - 113221.58
Software Engineer,100146.3 - 106683.94
Software Engineer,132834.5 - 139372.13
Analyst,296275.46 - 302813.1
Analyst,165522.69 - 172060.33
Software Engineer,243974.35 - 250511.99
Software Engineer,145909.77 - 152447.41
Engineer,243974.35 - 250511.99
Engineer,172060.33 - 178597.97
Software Engineer,113221.58 - 119759.22
Engineer,309350.74 - 315888.38
Engineer,211286.16 - 217823.8
Software Engineer,204748.52 - 211286.16
Software Engineer,93608.66 - 100146.3
Analyst,178597.97 - 185135.61
Analyst,119759.22 - 126296.86
Manager,243974.35 - 250511.99
Manager,106683.94 - 113221.58
Data Scientist,276662.55 - 283200.18
Data Scientist,204748.52 - 211286.16
Data Engineer,237436.71 - 243974.35
Data Engineer,126296.86 - 132834.5
Data Engineer,87071.03 - 93608.66
Data Engineer,54382.83 - 60920.47
Software Engineer,172060.33 - 178597.97
Data Analyst,47845.19 - 54382.83
Data Analyst,41307.55 - 47845.19
Data Analyst,230899.08 - 237436.71
Data Analyst,145909.77 - 152447.41
Data Analyst,100146.3 - 106683.94
