job_title,salary_in_USD
Research Scientist,208000
Research Scientist,147000
Research Scientist,173000
Research Scientist,117000
AI Engineer,100000
AI Engineer,80000
AI Engineer,338500
AI Engineer,161700
Manager,293000
Manager,213000
Business Intelligence Developer,76000
Business Intelligence Developer,76000
Software Engineer,180000
Software Engineer,145000
Data Scientist,120000
Data Scientist,100000
Manager,329600
Manager,190700
Research Engineer,296300
Research Engineer,166600
Data Specialist,44000
Data Specialist,36000
Data Specialist,44000
Data Specialist,36000
AI Architect,400000
AI Architect,170000
Business Analyst,65178
Business Analyst,43452
Manager,211000
Manager,142000
Machine Learning Engineer,310000
Machine Learning Engineer,160000
Data Analyst,86100
Data Analyst,75000
Data Analyst,90000
Data Analyst,75000
Data Architect,218657
Data Architect,149084
Data Engineer,222000
Data Engineer,98000
Data Engineer,163695
Data Engineer,109000
Software Engineer,179000
Software Engineer,102400
Software Engineer,180000
Software Engineer,135600
Research Scientist,173000
Research Scientist,117000
Analyst,300000
Analyst,170000
Software Engineer,250000
Software Engineer,150000
Engineer,249000
Engineer,173000
Software Engineer,250200
Software Engineer,117200
Engineer,312800
Engineer,217600
Software Engineer,208800
Software Engineer,98300
Analyst,180060
Analyst,120000
Manager,244000
Manager,111000
Data Scientist,282500
Data Scientist,207500
Data Engineer,243000
Data Engineer,127900
Data Engineer,88000
Data Engineer,56000
Software Engineer,176784
Software Engineer,117864
Data Analyst,48000
Data Analyst,42000
Data Analyst,234000
Data Analyst,146000
Data Analyst,102892
Data Analyst,81359
Data Analyst,194000
Data Analyst,116000
Data Analytics Manager,190000
Data Analytics Manager,158000
Software Engineer,268700
Software Engineer,130500
Manager,155700
Manager,84900
Business Development Representative,68975
Business Development Representative,54975
Analytics Engineer,140000
Analytics Engineer,120000
Data Engineer,223600
Data Engineer,152200
Data Engineer,123400
Data Engineer,60500
Data Specialist,72000
Data Specialist,66000
Business Intelligence Developer,106000
Business Intelligence Developer,70000
Business Intelligence Developer,154356
Business Intelligence Developer,115481
Analyst,230261
Analyst,78947
Research Associate,77687
Research Associate,54080
Analyst,210000
Analyst,125000
Product Specialist,207600
Product Specialist,116700
Analytics Engineer,190300
Analytics Engineer,129750
Systems Engineer,233200
Systems Engineer,155500
Manager,250000
Manager,188000
Manager,201400
Manager,120800
Machine Learning Engineer,414000
Machine Learning Engineer,235000
Data Analyst,21006
Data Analyst,18644
Associate,150000
Associate,114000
Data Scientist,249700
Data Scientist,166500
Data Scientist,231250
Data Scientist,111000
Data Scientist,270250
Data Scientist,199750
Software Engineer,230000
Software Engineer,80000
Data Governance,185000
Data Governance,110000
Data Scientist,143000
Data Scientist,104000
Engineer,221700
Engineer,130400
Engineer,260000
Engineer,130000
Software Development Engineer,198000
Software Development Engineer,132000
Data Scientist,234000
Data Scientist,117000
Data Governance Lead,229500
Data Governance Lead,123500
Manager,220300
Manager,175500
Data Analyst,132200
Data Analyst,115900
Data Analyst,145500
Data Analyst,115900
Data Engineer,205270
Data Engineer,110530
Data Engineer,219400
Data Engineer,131600
Data Engineer,180000
Data Engineer,90000
Software Developer,80300
Software Developer,50200
Analyst,159850
Analyst,118150
Systems Engineer,141450
Systems Engineer,104550
Systems Engineer,118450
Systems Engineer,73100
Data Scientist,197400
Data Scientist,158600
Statistician,100000
Statistician,56000
Analyst,145000
Analyst,115000
Manager,190000
Manager,152000
Architect,384100
Architect,251900
Software Engineer,193000
Software Engineer,84600
Data Product Manager,150000
Data Product Manager,120000
Data Scientist,220000
Data Scientist,96600
Data Scientist,172000
Data Scientist,75600
Manager,115000
Manager,90000
Quantitative Researcher,180000
Quantitative Researcher,170000
Software Engineer,370000
Software Engineer,200000
Manager,170000
Manager,116000
Research Engineer,208000
Research Engineer,141340
Software Engineer,250600
Software Engineer,135400
Product Manager,197100
Product Manager,115900
Data Scientist,176000
Data Scientist,124000
Data Scientist,153000
Data Scientist,113357
Data Scientist,230000
Data Scientist,200000
Data Scientist,88421
Data Scientist,50526
Associate,220000
Associate,200000
Software Engineer,168800
Software Engineer,135000
Data Specialist,56000
Data Specialist,52000
Research Scientist,173000
Research Scientist,117000
Associate,253500
Associate,190000
Research Engineer,250600
Research Engineer,135400
Data Engineer,80000
Data Engineer,80000
Software Engineer,180000
Software Engineer,140000
Data Analyst,100000
Data Analyst,85000
Data Architect,39157
Data Architect,39157
Applied Scientist,158200
Applied Scientist,79100
Applied Scientist,208800
Applied Scientist,98300
AI Engineer,250000
AI Engineer,180000
Software Engineer,284000
Software Engineer,189000
Software Engineer,200000
Software Engineer,175000
Cloud Developer,260000
Cloud Developer,130000
Engineering Manager,378700
Engineering Manager,219300
Software Engineer,223400
Software Engineer,96800
Consultant,208250
Consultant,148699
Systems Engineer,225000
Systems Engineer,163000
Research Scientist,125000
Research Scientist,90000
Analyst,110000
Analyst,80000
Software Developer,178100
Software Developer,79000
Engineer,95000
Engineer,75000
Software Engineer,44000
Software Engineer,44000
Software Engineer,200000
Software Engineer,150000
Product Manager,294000
Product Manager,137600
Product Manager,294000
Product Manager,117200
Product Designer,294000
Product Designer,137600
Research Scientist,355000
Research Scientist,194000
Machine Learning Engineer,169050
Machine Learning Engineer,124950
Data Scientist,173240
Data Scientist,156160
Data Scientist,139475
Data Scientist,125724
Data Scientist,271910
Data Scientist,164850
Data Engineer,140000
Data Engineer,90732
Data Engineer,200700
Data Engineer,120400
Data Engineer,237908
Data Engineer,175845
Data Operations,275600
Data Operations,165400
Data Operations,168500
Data Operations,124500
Product Specialist,248400
Product Specialist,140600
Statistical Programmer,42761
Statistical Programmer,31851
Data Governance Analyst,94750
Data Governance Analyst,67100
Business Analyst,84000
Business Analyst,61000
Data Analyst,120000
Data Analyst,95000
Solution Architect,269075
Solution Architect,148850
Data Modeler,154810
Data Modeler,144810
Analyst,117500
Analyst,97000
Analyst,117500
Analyst,97000
Research Scientist,199452
Research Scientist,105245
Software Engineer,170000
Software Engineer,135000
Engineer,189175
Engineer,104650
Manager,228000
Manager,123000
Analyst,150000
Analyst,88800
Manager,138765
Manager,104025
Associate,160000
Associate,105000
Software Engineer,227500
Software Engineer,147500
Data Engineer,159000
Data Engineer,132500
Engineer,205000
Engineer,128000
Analyst,98000
Analyst,89000
Manager,161600
Manager,92300
Data Analyst,127800
Data Analyst,95300
Data Scientist,232900
Data Scientist,130800
Data Analyst,180379
Data Analyst,142405
Data Analyst,161300
Data Analyst,114900
Data Architect,140000
Data Architect,125000
Full Stack Developer,112003
Full Stack Developer,81456
Manager,185000
Manager,146000
Manager,140000
Manager,110000
Statistician,90000
Statistician,85380
Machine Learning Engineer,200700
Machine Learning Engineer,175800
Data Management Lead,147000
Data Management Lead,106900
Manager,251850
Manager,174250
Manager,218500
Manager,151300
Data Specialist,18795
Data Specialist,18795
Data Analyst,124400
Data Analyst,99100
Data Analyst,145500
Data Analyst,115900
Business Intelligence Analyst,187450
Business Intelligence Analyst,112200
Engineer,264977
Engineer,176651
Research Scientist,173700
Research Scientist,126300
Postdoctoral Researcher,64000
Postdoctoral Researcher,62000
Associate,175000
Associate,150000
Analyst,170760
Analyst,113840
Manager,230000
Manager,165000
Engineer,155909
Engineer,110000
Software Engineer,226408
Software Engineer,96601
DevOps Engineer,121501
DevOps Engineer,73637
Associate,107900
Associate,86000
Analyst,131000
Analyst,106000
Analyst,170760
Analyst,113840
Business Intelligence Analyst,121400
Business Intelligence Analyst,89000
Solutions Architect,234240
Solutions Architect,156160
Manager,197200
Manager,144000
Manager,178800
Manager,133800
Engineer,270000
Engineer,180000
Data Scientist,200000
Data Scientist,168000
Developer,180840
Developer,131500
Data Engineer,171600
Data Engineer,92400
Data Engineer,129800
Data Engineer,86600
Manager,171600
Manager,92400
Architect,175000
Architect,140000
Engineer,264000
Engineer,132000
Manager,108826
Manager,108826
Analyst,296610
Analyst,164780
Analyst,204840
Analyst,136560
Cloud Engineer,156700
Cloud Engineer,74600
Software Engineer,234000
Software Engineer,117000
Software Engineer,180000
Software Engineer,90000
MLOps Engineer,215000
MLOps Engineer,135000
Data Analyst,132700
Data Analyst,73800
Data Analyst,130206
Data Analyst,74181
Data Engineer,137000
Data Engineer,60300
Data Engineer,137000
Data Engineer,60400
Data Engineer,115000
Data Engineer,85000
Data Engineer,220000
Data Engineer,96600
Data Scientist,176000
Data Scientist,136000
Data Scientist,172000
Data Scientist,75600
Analyst,137000
Analyst,60400
Business Analyst,234300
Business Analyst,149100
Software Engineer,333960
Software Engineer,222640
Manager,165000
Manager,115000
Applied Scientist,260000
Applied Scientist,150400
Applied Scientist,212800
Applied Scientist,129400
Machine Learning Engineer,290500
Machine Learning Engineer,179000
AI Architect,284300
AI Architect,164500
AI Architect,239000
AI Architect,138200
Data Scientist,160000
Data Scientist,130000
Data Scientist,720000
Data Scientist,170000
Manager,123300
Manager,104800
Data Analyst,150000
Data Analyst,125000
Data Engineer,250000
Data Engineer,200000
AI Engineer,155000
AI Engineer,138000
Machine Learning Engineer,227900
Machine Learning Engineer,157100
Machine Learning Engineer,164500
Machine Learning Engineer,116500
Research Engineer,245000
Research Engineer,161000
Software Engineer,245000
Software Engineer,161000
Solutions Architect,258750
Solutions Architect,178400
Engineer,201200
Engineer,116300
Software Engineer,261000
Software Engineer,174000
Machine Learning Engineer,364254
Machine Learning Engineer,208145
Machine Learning Engineer,253000
Machine Learning Engineer,150000
Machine Learning Engineer,157000
Machine Learning Engineer,105000
Software Engineer,195000
Software Engineer,148000
Machine Learning Engineer,200000
Machine Learning Engineer,170000
Data Engineer,130000
Data Engineer,110500
Data Engineer,160000
Data Engineer,110000
Data Engineer,255000
Data Engineer,156000
Data Engineer,201500
Data Engineer,183000
Data Analyst,87500
Data Analyst,70000
Data Analyst,179000
Data Analyst,126650
Data Analyst,150000
Data Analyst,115000
Data Analyst,94936
Data Analyst,94936
Analytics Engineer,150000
Analytics Engineer,120000
Solutions Engineer,180400
Solutions Engineer,102000
Data Lead,99816
Data Lead,55176
Data Scientist,106676
Data Scientist,82058
Data Scientist,96000
Data Scientist,87000
Data Scientist,96000
Data Scientist,87000
Data Scientist,96000
Data Scientist,87000
Data Scientist,96000
Data Scientist,87000
Product Manager,368230
Product Manager,318090
Data Manager,147000
Data Manager,118000
Software Engineer,255000
Software Engineer,225000
Manager,171000
Manager,136800
Business Intelligence Analyst,100000
Business Intelligence Analyst,81000
Manager,160000
Manager,130000
Manager,323000
Manager,195000
Associate,61008
Associate,61008
Software Engineer,160000
Software Engineer,80000
Software Engineer,368640
Software Engineer,245760
Engineer,440000
Engineer,180000
Manager,133100
Manager,98300
Manager,133100
Manager,98300
Manager,133100
Manager,98300
Manager,261000
Manager,174000
Software Engineer,252000
Software Engineer,168000
Software Engineer,252000
Software Engineer,168000
Analyst,183000
Analyst,122000
Engineer,225000
Engineer,150000
Software Engineer,405000
Software Engineer,320000
Software Engineer,130000
Software Engineer,104000
Software Engineer,200000
Software Engineer,170000
