"Data Product Owner","165790.96 - 170225.99"
"Data Product Owner","108135.59 - 112570.62"
"Engineer","139180.79 - 143615.82"
"Engineer","103700.56 - 108135.59"
"Manager","356497.18 - 360932.2"
"Manager","236751.41 - 241186.44"
"Data Scientist","59350.28 - 63785.31"
"Data Scientist","50480.23 - 54915.25"
"Data Scientist","232316.38 - 236751.41"
"Data Scientist","143615.82 - 148050.85"
"Data Scientist","85960.45 - 90395.48"
"Data Scientist","77090.4 - 81525.42"
"Data Scientist","125875.71 - 130310.73"
"Data Scientist","68220.34 - 72655.37"
"AI Architect","227881.36 - 232316.38"
"AI Architect","103700.56 - 108135.59"
"Data Engineer","214576.27 - 219011.3"
"Data Engineer","134745.76 - 139180.79"
"Engineer","214576.27 - 219011.3"
"Engineer","134745.76 - 139180.79"
"Engineer","174661.02 - 179096.05"
"Engineer","108135.59 - 112570.62"
"Engineer","281101.69 - 285536.72"
"Engineer","232316.38 - 236751.41"
"Engineer","143615.82 - 148050.85"
"AI Engineer","121440.68 - 125875.71"
"AI Engineer","81525.42 - 85960.45"
"Research Engineer","143615.82 - 148050.85"
"Research Engineer","94830.51 - 99265.54"
"Research Engineer","183531.07 - 187966.1"
"Research Engineer","108135.59 - 112570.62"
"Data Analyst","72655.37 - 77090.4"
"Data Analyst","54915.25 - 59350.28"
"Data Analyst","219011.3 - 223446.33"
"Data Analyst","103700.56 - 108135.59"
"Data Analyst","85960.45 - 90395.48"
"Data Analyst","59350.28 - 63785.31"
"Research Engineer","85960.45 - 90395.48"
"Business Intelligence Developer","103700.56 - 108135.59"
"Business Intelligence Developer","81525.42 - 85960.45"
"Data Manager","37175.14 - 41610.17"
"Data Management Specialist","99265.54 - 103700.56"
"Data Management Specialist","63785.31 - 68220.34"
"Quantitative Developer","281101.69 - 285536.72"
"Quantitative Developer","152485.88 - 156920.9"
"Manager","134745.76 - 139180.79"
"Manager","77090.4 - 81525.42"
"Software Engineer","289971.75 - 294406.78"
"Software Engineer","134745.76 - 139180.79"
"Technical Lead","174661.02 - 179096.05"
"Technical Lead","148050.85 - 152485.88"
"Software Engineer","250056.5 - 254491.53"
"Sales Development Representative","68220.34 - 72655.37"
"Sales Development Representative","46045.2 - 50480.23"
"Consultant","210141.24 - 214576.27"
"Consultant","139180.79 - 143615.82"
"Analyst","68220.34 - 72655.37"
"Analyst","63785.31 - 68220.34"
"System Engineer","143615.82 - 148050.85"
"System Engineer","85960.45 - 90395.48"
"AI Engineer","187966.1 - 192401.13"
"AI Engineer","161355.93 - 165790.96"
"Data Scientist","165790.96 - 170225.99"
"Data Scientist","103700.56 - 108135.59"
"Data Scientist","214576.27 - 219011.3"
"Data Scientist","161355.93 - 165790.96"
"Data Scientist","112570.62 - 117005.65"
"Product Manager","223446.33 - 227881.36"
"Product Manager","139180.79 - 143615.82"
"AI Engineer","50480.23 - 54915.25"
"AI Engineer","46045.2 - 50480.23"
"AI Engineer","54915.25 - 59350.28"
"Software Engineer","72655.37 - 77090.4"
"Software Engineer","59350.28 - 63785.31"
"Software Engineer","183531.07 - 187966.1"
"Software Engineer","108135.59 - 112570.62"
"Data Analyst","117005.65 - 121440.68"
"Data Analyst","99265.54 - 103700.56"
"Data Analyst","28305.08 - 32740.11"
"Data Analyst","121440.68 - 125875.71"
"Analytics Engineer","152485.88 - 156920.9"
"Analytics Engineer","99265.54 - 103700.56"
"Solution Architect","263361.58 - 267796.61"
"Solution Architect","192401.13 - 196836.16"
"Associate","85960.45 - 90395.48"
"Associate","41610.17 - 46045.2"
"Encounter Data Management Professional","85960.45 - 90395.48"
"Encounter Data Management Professional","63785.31 - 68220.34"
"Encounter Data Management Professional","103700.56 - 108135.59"
"Encounter Data Management Professional","77090.4 - 81525.42"
"Associate","161355.93 - 165790.96"
"Associate","117005.65 - 121440.68"
"Manager","161355.93 - 165790.96"
"Manager","72655.37 - 77090.4"
"Data Infrastructure Engineer","99265.54 - 103700.56"
"Data Infrastructure Engineer","59350.28 - 63785.31"
"Data Architect","223446.33 - 227881.36"
"Data Architect","148050.85 - 152485.88"
"Data Scientist","174661.02 - 179096.05"
"Data Scientist","108135.59 - 112570.62"
"Data Scientist","130310.73 - 134745.76"
"Data Scientist","205706.21 - 210141.24"
"Data Analyst","94830.51 - 99265.54"
"Data Analyst","50480.23 - 54915.25"
"Data Analyst","63785.31 - 68220.34"
"Data Analyst","134745.76 - 139180.79"
"Data Team Lead","170225.99 - 174661.02"
"Data Team Lead","81525.42 - 85960.45"
"Engineer","205706.21 - 210141.24"
"Consultant","19435.03 - 23870.06"
"Consultant","15000.0 - 19435.03"
"Engineer","187966.1 - 192401.13"
"Business Intelligence Lead","161355.93 - 165790.96"
"Business Intelligence Lead","117005.65 - 121440.68"
"AI Architect","263361.58 - 267796.61"
"AI Architect","156920.9 - 161355.93"
"Data Architect","232316.38 - 236751.41"
"Data Architect","156920.9 - 161355.93"
"DevOps Engineer","196836.16 - 201271.19"
"DevOps Engineer","117005.65 - 121440.68"
"Decision Scientist","156920.9 - 161355.93"
"Decision Scientist","77090.4 - 81525.42"
"Manager","187966.1 - 192401.13"
"Manager","139180.79 - 143615.82"
"Machine Learning Engineer","192401.13 - 196836.16"
"Machine Learning Engineer","143615.82 - 148050.85"
"Machine Learning Engineer","170225.99 - 174661.02"
"Machine Learning Engineer","85960.45 - 90395.48"
"Machine Learning Engineer","103700.56 - 108135.59"
"Architect","219011.3 - 223446.33"
"Architect","130310.73 - 134745.76"
"Data Scientist","63785.31 - 68220.34"
"Data Engineer","223446.33 - 227881.36"
"Data Engineer","250056.5 - 254491.53"
"Data Engineer","165790.96 - 170225.99"
"Data Engineer","161355.93 - 165790.96"
"Data Engineer","108135.59 - 112570.62"
"Software Engineer","196836.16 - 201271.19"
"Software Engineer","156920.9 - 161355.93"
"Data Visualization Engineer","139180.79 - 143615.82"
"Data Visualization Engineer","112570.62 - 117005.65"
"Applied Scientist","219011.3 - 223446.33"
"Applied Scientist","134745.76 - 139180.79"
"Applied Scientist","258926.55 - 263361.58"
"Applied Scientist","148050.85 - 152485.88"
"Software Engineer","263361.58 - 267796.61"
"Software Engineer","174661.02 - 179096.05"
"Data Infrastructure Engineer","236751.41 - 241186.44"
"Data Infrastructure Engineer","156920.9 - 161355.93"
"Machine Learning Engineer","236751.41 - 241186.44"
"Machine Learning Engineer","156920.9 - 161355.93"
"Data Governance Analyst","156920.9 - 161355.93"
"Data Governance Analyst","125875.71 - 130310.73"
"Data Governance","210141.24 - 214576.27"
"Data Governance","139180.79 - 143615.82"
"Engineer","219011.3 - 223446.33"
"Data Quality Analyst","139180.79 - 143615.82"
"Data Quality Analyst","81525.42 - 85960.45"
"Software Engineer","170225.99 - 174661.02"
"Software Engineer","81525.42 - 85960.45"
"Data Analyst","46045.2 - 50480.23"
"Business Intelligence Developer","117005.65 - 121440.68"
"Business Intelligence Developer","72655.37 - 77090.4"
"Data Engineer","46045.2 - 50480.23"
"Data Engineer","41610.17 - 46045.2"
"Data Engineer","179096.05 - 183531.07"
"Data Engineer","94830.51 - 99265.54"
"Data Governance","37175.14 - 41610.17"
"Data Governance","32740.11 - 37175.14"
"Software Engineer","236751.41 - 241186.44"
"Manager","183531.07 - 187966.1"
"Manager","108135.59 - 112570.62"
"Manager","210141.24 - 214576.27"
"Manager","125875.71 - 130310.73"
"Data Scientist","90395.48 - 94830.51"
"Data Manager","125875.71 - 130310.73"
"Data Manager","72655.37 - 77090.4"
"Manager","418587.57 - 423022.6"
"Manager","219011.3 - 223446.33"
"Data Scientist","223446.33 - 227881.36"
"Data Scientist","148050.85 - 152485.88"
"Data Scientist","134745.76 - 139180.79"
"Data Scientist","156920.9 - 161355.93"
"Data Scientist","139180.79 - 143615.82"
"Technical Lead","183531.07 - 187966.1"
"Technical Lead","121440.68 - 125875.71"
"Software Engineer","112570.62 - 117005.65"
"Data Architect","219011.3 - 223446.33"
"Data Architect","94830.51 - 99265.54"
"Data Architect","201271.19 - 205706.21"
"Data Engineer","103700.56 - 108135.59"
